AL,1987,3,139.74
AL,1987,4,138.3
AL,1988,1,142.2
AL,1988,2,143.19
AL,1988,3,142.7
AL,1988,4,141.42
AL,1989,1,141.56
AL,1989,2,143.36
AL,1989,3,145.67
AL,1989,4,146.73
AL,1990,1,145.58
AL,1990,2,146.81
AL,1990,3,147.43
AL,1990,4,147.64
AL,1991,1,148.77
AL,1991,2,151.09
AL,1991,3,151.85
AL,1991,4,154.37
AL,1992,1,155.6
AL,1992,2,155.87
AL,1992,3,158.77
AL,1992,4,160.08
AL,1993,1,161.22
AL,1993,2,162.94
AL,1993,3,165.82
AL,1993,4,167.27
AL,1994,1,168.38
AL,1994,2,170.43
AL,1994,3,171.04
AL,1994,4,171.3
AL,1995,1,172.85
AL,1995,2,176.28
AL,1995,3,179.06
AL,1995,4,180.38
AL,1996,1,183.6
AL,1996,2,183.57
AL,1996,3,183.98
AL,1996,4,186.08
AL,1997,1,188.14
AL,1997,2,189.49
AL,1997,3,192.4
AL,1997,4,194.84
AL,1998,1,198.1
AL,1998,2,199.66
AL,1998,3,201.83
AL,1998,4,204.29
AL,1999,1,204.97
AL,1999,2,205.8
AL,1999,3,206.19
AL,1999,4,207.71
AL,2000,1,208.48
AL,2000,2,210.25
AL,2000,3,211.86
AL,2000,4,214.61
AL,2001,1,220.88
AL,2001,2,221.8
AL,2001,3,223.38
AL,2001,4,225.92
AL,2002,1,226.31
AL,2002,2,227.52
AL,2002,3,230.88
AL,2002,4,233.54
AL,2003,1,235.89
AL,2003,2,238.02
AL,2003,3,239.67
AL,2003,4,241.17
AL,2004,1,243.47
AL,2004,2,245.05
AL,2004,3,249.48
AL,2004,4,253.27
AL,2005,1,256.65
AL,2005,2,262.7
AL,2005,3,268.16
AL,2005,4,273.66
AL,2006,1,279.13
AL,2006,2,283.72
AL,2006,3,288.37
AL,2006,4,293.81
AL,2007,1,295.8
AL,2007,2,299.96
AL,2007,3,300.59
AL,2007,4,302.93
AL,2008,1,304.86
AL,2008,2,303.63
AL,2008,3,301.35
AL,2008,4,302.86
AL,2009,1,305.08
AL,2009,2,301.76
AL,2009,3,294.65
AL,2009,4,293.67
AL,2010,1,289.53
AL,2010,2,285.24
AL,2010,3,289
AL,2010,4,286.57
AL,2011,1,279.01
AL,2011,2,275.25
AL,2011,3,277.59
AL,2011,4,279.63
AL,2012,1,276.73
AL,2012,2,274.97
AL,2012,3,276.83
AL,2012,4,277.24
AL,2013,1,274.54
AL,2013,2,275.08
AL,2013,3,274.47
AL,2013,4,273.35
AL,2014,1,275.53
AL,2014,2,276.21
AL,2014,3,279.28
AL,2014,4,280.68
AL,2015,1,283.66
AL,2015,2,284.53
AL,2015,3,286.32
AL,2015,4,288.55
AL,2016,1,289.14
AL,2016,2,292.93
AL,2016,3,297.97
AL,2016,4,296.95
AL,2017,1,298.71
AL,2017,2,302.72
AL,2017,3,305.42
AL,2017,4,307.68
AL,2018,1,311.22
AL,2018,2,316.15
AL,2018,3,319.26
AL,2018,4,319.82
AL,2019,1,326.07
AL,2019,2,331.05
AL,2019,3,335.45
AL,2019,4,339.55
AL,2020,1,343.97
AL,2020,2,348.61
AL,2020,3,355.48
AL,2020,4,362.16
AR,1975,1,66.58
AR,1975,2,60.44
AR,1975,3,65.29
AR,1975,4,62.74
AR,1976,1,66.53
AR,1976,2,68.85
AR,1976,3,71.66
AR,1976,4,72.22
AR,1977,1,73.34
AR,1977,2,75.15
AR,1977,3,78.59
AR,1977,4,81.12
AR,1978,1,81.29
AR,1978,2,83.48
AR,1978,3,86.2
AR,1978,4,86.08
AR,1979,1,91.96
AR,1979,2,95.22
AR,1979,3,99.64
AR,1979,4,101.6
AR,1980,1,100
AR,1980,2,101.48
AR,1980,3,107.01
AR,1980,4,109.08
AR,1981,1,109.84
AR,1981,2,107.01
AR,1981,3,109.35
AR,1981,4,102.59
AR,1982,1,103.32
AR,1982,2,106.26
AR,1982,3,110.97
AR,1982,4,108.99
AR,1983,1,113.3
AR,1983,2,116.62
AR,1983,3,118.41
AR,1983,4,118.76
AR,1984,1,120.74
AR,1984,2,119.14
AR,1984,3,119.62
AR,1984,4,121.23
AR,1985,1,121.5
AR,1985,2,120.07
AR,1985,3,124.11
AR,1985,4,124.57
AR,1986,1,125.8
AR,1986,2,128.82
AR,1986,3,126.75
AR,1986,4,128.36
AR,1987,1,129.49
AR,1987,2,130.96
AR,1987,3,127.87
AR,1987,4,124.13
AR,1988,1,126.78
AR,1988,2,127.53
AR,1988,3,127.11
AR,1988,4,126.43
AR,1989,1,127.55
AR,1989,2,127.06
AR,1989,3,128.24
AR,1989,4,127.34
AR,1990,1,127.95
AR,1990,2,128.1
AR,1990,3,128.92
AR,1990,4,128.45
AR,1991,1,129.75
AR,1991,2,130.42
AR,1991,3,131.61
AR,1991,4,133.74
AR,1992,1,134.94
AR,1992,2,134.12
AR,1992,3,136.56
AR,1992,4,137.29
AR,1993,1,138.57
AR,1993,2,140.71
AR,1993,3,143.3
AR,1993,4,145.03
AR,1994,1,147.85
AR,1994,2,149.1
AR,1994,3,150.84
AR,1994,4,151.98
AR,1995,1,152.75
AR,1995,2,156.89
AR,1995,3,158.92
AR,1995,4,159.68
AR,1996,1,162.05
AR,1996,2,162.22
AR,1996,3,162.08
AR,1996,4,163.8
AR,1997,1,165.31
AR,1997,2,166.85
AR,1997,3,167.76
AR,1997,4,169.94
AR,1998,1,171.73
AR,1998,2,171.73
AR,1998,3,174.49
AR,1998,4,176.48
AR,1999,1,177.26
AR,1999,2,177.47
AR,1999,3,178.19
AR,1999,4,178.68
AR,2000,1,179.67
AR,2000,2,181.4
AR,2000,3,182.49
AR,2000,4,184.91
AR,2001,1,189.53
AR,2001,2,190.64
AR,2001,3,192.62
AR,2001,4,194.56
AR,2002,1,195.32
AR,2002,2,196.18
AR,2002,3,199.38
AR,2002,4,201.84
AR,2003,1,203.39
AR,2003,2,204.67
AR,2003,3,207.18
